,episode,steps,reward,alpha,gamma,epsilon,time,info
1,159,19,1103,0,0,0.01,5:45:58,{'message': 'reached_goal'}
0,160,23,1110,0,0,0.01,5:46:09,{'message': 'reached_goal'}
1,161,26,1117,0,0,0.01,5:46:21,{'message': 'reached_goal'}
0,162,104,889,0,0,0.01,5:47:03,{'message': 'reached_goal'}
1,163,733,-641,0,0,0.01,5:51:47,{'message': 'reached_goal'}
0,164,19,1108,0,0,0.01,5:51:56,{'message': 'reached_goal'}
1,165,130,894,0,0,0.01,5:52:49,{'message': 'reached_goal'}
0,166,94,950,0,0,0.01,5:53:25,{'message': 'reached_goal'}
1,167,19,1108,0,0,0.01,5:53:35,{'message': 'reached_goal'}
0,168,18,1102,0,0,0.01,5:53:44,{'message': 'reached_goal'}
1,169,18,1102,0,0,0.01,5:53:53,{'message': 'reached_goal'}
0,170,18,1102,0,0,0.01,5:54:02,{'message': 'reached_goal'}
1,171,19,1108,0,0,0.01,5:54:11,{'message': 'reached_goal'}
0,172,19,1108,0,0,0.01,5:54:20,{'message': 'reached_goal'}
1,173,18,1102,0,0,0.01,5:54:29,{'message': 'reached_goal'}
0,174,19,1108,0,0,0.01,5:54:38,{'message': 'reached_goal'}
1,175,19,1108,0,0,0.01,5:54:48,{'message': 'reached_goal'}
0,176,19,1108,0,0,0.01,5:54:58,{'message': 'reached_goal'}
1,177,18,1102,0,0,0.01,5:55:06,{'message': 'reached_goal'}
0,178,19,1108,0,0,0.01,5:55:15,{'message': 'reached_goal'}
1,179,18,1102,0,0,0.01,5:55:24,{'message': 'reached_goal'}
0,180,18,1102,0,0,0.01,5:55:33,{'message': 'reached_goal'}
1,181,18,1102,0,0,0.01,5:55:42,{'message': 'reached_goal'}
0,182,18,1102,0,0,0.01,5:55:51,{'message': 'reached_goal'}
1,183,18,1102,0,0,0.01,5:55:59,{'message': 'reached_goal'}
0,184,18,1102,0,0,0.01,5:56:08,{'message': 'reached_goal'}
1,185,18,1091,0,0,0.01,5:56:18,{'message': 'reached_goal'}
