,episode,steps,reward,alpha,gamma,epsilon,time,info
1,2543,12,-542,0.1,0.7,0.07,10:30:25,{'message': 'outside_geofence'}
0,2544,81,-702,0.1,0.7,0.07,10:30:50,{'message': 'outside_geofence'}
1,2545,31,-599,0.1,0.7,0.07,10:31:00,{'message': 'outside_geofence'}
0,2546,95,-729,0.1,0.7,0.07,10:31:30,{'message': 'outside_geofence'}
1,2547,70,-567,0.1,0.7,0.07,10:31:52,{'message': 'outside_geofence'}
0,2548,12,-536,0.1,0.7,0.07,10:31:56,{'message': 'outside_geofence'}
1,2549,29,-570,0.1,0.7,0.07,10:32:05,{'message': 'outside_geofence'}
0,2550,42,-573,0.1,0.7,0.07,10:32:19,{'message': 'outside_geofence'}
1,2551,12,-553,0.1,0.7,0.07,10:32:23,{'message': 'outside_geofence'}
0,2552,30,-460,0.1,0.7,0.07,10:32:33,{'message': 'outside_geofence'}
1,2553,11,-514,0.1,0.7,0.07,10:32:36,{'message': 'outside_geofence'}
0,2554,78,-701,0.1,0.7,0.07,10:33:01,{'message': 'outside_geofence'}
1,2555,7,-519,0.1,0.7,0.07,10:33:03,{'message': 'outside_geofence'}
0,2556,15,-534,0.1,0.7,0.07,10:33:08,{'message': 'outside_geofence'}
1,2557,80,-729,0.1,0.7,0.07,10:33:33,{'message': 'outside_geofence'}
0,2558,110,-698,0.1,0.7,0.07,10:34:08,{'message': 'outside_geofence'}
1,2559,14,-529,0.1,0.7,0.07,10:34:13,{'message': 'outside_geofence'}
0,2560,45,-680,0.1,0.7,0.07,10:34:26,{'message': 'outside_geofence'}
1,2561,10,-505,0.1,0.7,0.07,10:34:30,{'message': 'outside_geofence'}
0,2562,49,-589,0.1,0.7,0.07,10:34:45,{'message': 'outside_geofence'}
1,2563,20,-517,0.1,0.7,0.07,10:34:52,{'message': 'outside_geofence'}
0,2564,29,-576,0.1,0.7,0.07,10:35:01,{'message': 'outside_geofence'}
1,2565,18,-554,0.1,0.7,0.07,10:35:07,{'message': 'outside_geofence'}
0,2566,20,-496,0.1,0.7,0.07,10:35:13,{'message': 'outside_geofence'}
1,2567,8,-513,0.1,0.7,0.07,10:35:16,{'message': 'outside_geofence'}
0,2568,43,-530,0.1,0.7,0.07,10:35:30,{'message': 'outside_geofence'}
1,2569,10,-512,0.1,0.7,0.07,10:35:34,{'message': 'outside_geofence'}
0,2570,35,-576,0.1,0.7,0.07,10:35:45,{'message': 'outside_geofence'}
1,2571,11,-528,0.1,0.7,0.07,10:35:49,{'message': 'outside_geofence'}
0,2572,24,-595,0.1,0.7,0.07,10:35:56,{'message': 'outside_geofence'}
1,2573,70,-702,0.1,0.7,0.07,10:36:18,{'message': 'outside_geofence'}
0,2574,33,-641,0.1,0.7,0.07,10:36:29,{'message': 'outside_geofence'}
1,2575,10,-493,0.1,0.7,0.06,10:36:32,{'message': 'outside_geofence'}
0,2576,33,-683,0.1,0.7,0.06,10:36:43,{'message': 'outside_geofence'}
1,2577,31,-605,0.1,0.7,0.06,10:36:53,{'message': 'outside_geofence'}
0,2578,30,-522,0.1,0.7,0.06,10:37:02,{'message': 'outside_geofence'}
1,2579,13,-561,0.1,0.7,0.06,10:37:07,{'message': 'outside_geofence'}
0,2580,40,-556,0.1,0.7,0.06,10:37:19,{'message': 'outside_geofence'}
1,2581,29,-551,0.1,0.7,0.06,10:37:28,{'message': 'outside_geofence'}
0,2582,121,-793,0.1,0.7,0.06,10:38:07,{'message': 'outside_geofence'}
1,2583,49,-640,0.1,0.7,0.06,10:38:22,{'message': 'outside_geofence'}
0,2584,16,-544,0.1,0.7,0.06,10:38:27,{'message': 'outside_geofence'}
1,2585,28,-600,0.1,0.7,0.06,10:38:36,{'message': 'outside_geofence'}
0,2586,49,-763,0.1,0.7,0.06,10:38:52,{'message': 'outside_geofence'}
1,2587,19,-514,0.1,0.7,0.06,10:38:58,{'message': 'outside_geofence'}
0,2588,35,-549,0.1,0.7,0.06,10:39:09,{'message': 'outside_geofence'}
1,2589,84,-667,0.1,0.7,0.06,10:39:35,{'message': 'outside_geofence'}
0,2590,64,-597,0.1,0.7,0.06,10:39:56,{'message': 'outside_geofence'}
1,2591,32,-568,0.1,0.7,0.06,10:40:06,{'message': 'outside_geofence'}
0,2592,17,-565,0.1,0.7,0.06,10:40:12,{'message': 'outside_geofence'}
1,2593,68,-637,0.1,0.7,0.06,10:40:33,{'message': 'outside_geofence'}
0,2594,22,-566,0.1,0.7,0.06,10:40:40,{'message': 'outside_geofence'}
1,2595,30,-552,0.1,0.7,0.06,10:40:50,{'message': 'outside_geofence'}
0,2596,11,-517,0.1,0.7,0.06,10:40:54,{'message': 'outside_geofence'}
1,2597,121,-653,0.1,0.7,0.06,10:41:31,{'message': 'outside_geofence'}
0,2598,27,-556,0.1,0.7,0.06,10:41:40,{'message': 'outside_geofence'}
1,2599,12,-527,0.1,0.7,0.06,10:41:44,{'message': 'outside_geofence'}
0,2600,19,-569,0.1,0.7,0.06,10:41:50,{'message': 'outside_geofence'}
1,2601,19,-564,0.1,0.7,0.06,10:41:56,{'message': 'outside_geofence'}
0,2602,33,-533,0.1,0.7,0.06,10:42:07,{'message': 'outside_geofence'}
1,2603,68,-557,0.1,0.7,0.06,10:42:28,{'message': 'outside_geofence'}
0,2604,100,-632,0.1,0.7,0.06,10:43:00,{'message': 'outside_geofence'}
1,2605,18,-529,0.1,0.7,0.06,10:43:06,{'message': 'outside_geofence'}
0,2606,17,-571,0.1,0.7,0.06,10:43:12,{'message': 'outside_geofence'}
1,2607,32,-536,0.1,0.7,0.06,10:43:22,{'message': 'outside_geofence'}
0,2608,152,-797,0.1,0.7,0.06,10:44:09,{'message': 'outside_geofence'}
1,2609,33,-506,0.1,0.7,0.06,10:44:20,{'message': 'outside_geofence'}
0,2610,14,-593,0.1,0.7,0.06,10:44:24,{'message': 'outside_geofence'}
1,2611,11,-554,0.1,0.7,0.06,10:44:28,{'message': 'outside_geofence'}
0,2612,11,-528,0.1,0.7,0.06,10:44:32,{'message': 'outside_geofence'}
1,2613,37,-601,0.1,0.7,0.06,10:44:44,{'message': 'outside_geofence'}
0,2614,72,-627,0.1,0.7,0.06,10:45:06,{'message': 'outside_geofence'}
1,2615,66,-489,0.1,0.7,0.06,10:45:27,{'message': 'outside_geofence'}
0,2616,20,-551,0.1,0.7,0.06,10:45:33,{'message': 'outside_geofence'}
1,2617,17,-527,0.1,0.7,0.06,10:45:39,{'message': 'outside_geofence'}
0,2618,29,-570,0.1,0.7,0.06,10:45:48,{'message': 'outside_geofence'}
1,2619,116,-821,0.1,0.7,0.06,10:46:24,{'message': 'outside_geofence'}
0,2620,14,-510,0.1,0.7,0.06,10:46:29,{'message': 'outside_geofence'}
1,2621,81,-609,0.1,0.7,0.06,10:46:54,{'message': 'outside_geofence'}
0,2622,13,-528,0.1,0.7,0.06,10:46:59,{'message': 'outside_geofence'}
1,2623,29,-628,0.1,0.7,0.06,10:47:08,{'message': 'outside_geofence'}
0,2624,32,-685,0.1,0.7,0.06,10:47:18,{'message': 'outside_geofence'}
1,2625,63,-633,0.1,0.7,0.06,10:47:37,{'message': 'outside_geofence'}
0,2626,25,-498,0.1,0.7,0.06,10:47:46,{'message': 'outside_geofence'}
1,2627,16,-573,0.1,0.7,0.06,10:47:51,{'message': 'outside_geofence'}
0,2628,63,-484,0.1,0.7,0.06,10:48:10,{'message': 'outside_geofence'}
1,2629,51,-558,0.1,0.7,0.06,10:48:27,{'message': 'outside_geofence'}
0,2630,39,-532,0.1,0.7,0.06,10:48:39,{'message': 'outside_geofence'}
1,2631,47,-488,0.1,0.7,0.06,10:48:54,{'message': 'outside_geofence'}
0,2632,32,-634,0.1,0.7,0.06,10:49:04,{'message': 'outside_geofence'}
1,2633,125,-840,0.1,0.7,0.06,10:49:44,{'message': 'outside_geofence'}
0,2634,36,-548,0.1,0.7,0.06,10:49:55,{'message': 'outside_geofence'}
1,2635,47,-529,0.1,0.7,0.06,10:50:10,{'message': 'outside_geofence'}
0,2636,20,-518,0.1,0.7,0.06,10:50:17,{'message': 'outside_geofence'}
1,2637,79,-678,0.1,0.7,0.06,10:50:41,{'message': 'outside_geofence'}
0,2638,41,-566,0.1,0.7,0.06,10:50:55,{'message': 'outside_geofence'}
1,2639,136,-857,0.1,0.7,0.06,10:51:36,{'message': 'outside_geofence'}
0,2640,54,-669,0.1,0.7,0.06,10:51:54,{'message': 'outside_geofence'}
1,2641,23,-582,0.1,0.7,0.06,10:52:01,{'message': 'outside_geofence'}
0,2642,38,-579,0.1,0.7,0.06,10:52:13,{'message': 'outside_geofence'}
1,2643,21,-564,0.1,0.7,0.06,10:52:20,{'message': 'outside_geofence'}
0,2644,57,-611,0.1,0.7,0.06,10:52:38,{'message': 'outside_geofence'}
1,2645,12,-547,0.1,0.7,0.06,10:52:42,{'message': 'outside_geofence'}
0,2646,83,-517,0.1,0.7,0.06,10:53:08,{'message': 'outside_geofence'}
1,2647,38,-565,0.1,0.7,0.06,10:53:20,{'message': 'outside_geofence'}
0,2648,89,-669,0.1,0.7,0.06,10:53:47,{'message': 'outside_geofence'}
1,2649,14,-555,0.1,0.7,0.06,10:53:52,{'message': 'outside_geofence'}
0,2650,21,-581,0.1,0.7,0.06,10:53:59,{'message': 'outside_geofence'}
1,2651,11,-528,0.1,0.7,0.06,10:54:02,{'message': 'outside_geofence'}
0,2652,16,-529,0.1,0.7,0.06,10:54:08,{'message': 'outside_geofence'}
1,2653,50,-682,0.1,0.7,0.06,10:54:23,{'message': 'outside_geofence'}
0,2654,24,-581,0.1,0.7,0.06,10:54:31,{'message': 'outside_geofence'}
1,2655,52,-569,0.1,0.7,0.06,10:54:47,{'message': 'outside_geofence'}
0,2656,30,-604,0.1,0.7,0.06,10:54:57,{'message': 'outside_geofence'}
1,2657,88,-824,0.1,0.7,0.06,10:55:24,{'message': 'outside_geofence'}
0,2658,18,-556,0.1,0.7,0.06,10:55:30,{'message': 'outside_geofence'}
1,2659,18,-509,0.1,0.7,0.06,10:55:36,{'message': 'outside_geofence'}
0,2660,24,-504,0.1,0.7,0.06,10:55:44,{'message': 'outside_geofence'}
1,2661,32,-560,0.1,0.7,0.06,10:55:54,{'message': 'outside_geofence'}
0,2662,48,-573,0.1,0.7,0.06,10:56:09,{'message': 'outside_geofence'}
1,2663,19,-508,0.1,0.7,0.06,10:56:15,{'message': 'outside_geofence'}
0,2664,13,-567,0.1,0.7,0.06,10:56:20,{'message': 'outside_geofence'}
1,2665,36,-544,0.1,0.7,0.06,10:56:31,{'message': 'outside_geofence'}
0,2666,51,-643,0.1,0.7,0.06,10:56:47,{'message': 'outside_geofence'}
1,2667,21,-567,0.1,0.7,0.06,10:56:54,{'message': 'outside_geofence'}
0,2668,20,-564,0.1,0.7,0.06,10:57:00,{'message': 'outside_geofence'}
1,2669,109,-770,0.1,0.7,0.06,10:57:35,{'message': 'outside_geofence'}
0,2670,28,-568,0.1,0.7,0.06,10:57:43,{'message': 'outside_geofence'}
1,2671,94,-703,0.1,0.7,0.06,10:58:12,{'message': 'outside_geofence'}
0,2672,55,-606,0.1,0.7,0.06,10:58:30,{'message': 'outside_geofence'}
1,2673,26,-555,0.1,0.7,0.06,10:58:38,{'message': 'outside_geofence'}
0,2674,84,-765,0.1,0.7,0.06,10:59:04,{'message': 'outside_geofence'}
1,2675,113,-714,0.1,0.7,0.06,10:59:39,{'message': 'outside_geofence'}
0,2676,32,-612,0.1,0.7,0.06,10:59:50,{'message': 'outside_geofence'}
1,2677,85,-629,0.1,0.7,0.06,11:00:16,{'message': 'outside_geofence'}
0,2678,86,-545,0.1,0.7,0.06,11:00:43,{'message': 'outside_geofence'}
1,2679,87,-615,0.1,0.7,0.06,11:01:10,{'message': 'outside_geofence'}
0,2680,27,-509,0.1,0.7,0.06,11:01:18,{'message': 'outside_geofence'}
1,2681,33,-623,0.1,0.7,0.06,11:01:29,{'message': 'outside_geofence'}
0,2682,50,-646,0.1,0.7,0.06,11:01:45,{'message': 'outside_geofence'}
1,2683,11,-506,0.1,0.7,0.06,11:01:48,{'message': 'outside_geofence'}
0,2684,87,-753,0.1,0.7,0.06,11:02:16,{'message': 'outside_geofence'}
1,2685,67,-619,0.1,0.7,0.06,11:02:36,{'message': 'outside_geofence'}
0,2686,66,-654,0.1,0.7,0.06,11:02:57,{'message': 'outside_geofence'}
1,2687,27,-513,0.1,0.7,0.06,11:03:06,{'message': 'outside_geofence'}
0,2688,18,-524,0.1,0.7,0.06,11:03:12,{'message': 'outside_geofence'}
1,2689,49,-565,0.1,0.7,0.06,11:03:27,{'message': 'outside_geofence'}
0,2690,61,-673,0.1,0.7,0.06,11:03:46,{'message': 'outside_geofence'}
1,2691,27,-646,0.1,0.7,0.06,11:03:55,{'message': 'outside_geofence'}
0,2692,31,-567,0.1,0.7,0.06,11:04:05,{'message': 'outside_geofence'}
1,2693,35,-622,0.1,0.7,0.06,11:04:16,{'message': 'outside_geofence'}
0,2694,44,-566,0.1,0.7,0.06,11:04:30,{'message': 'outside_geofence'}
1,2695,68,-638,0.1,0.7,0.06,11:04:51,{'message': 'outside_geofence'}
0,2696,90,-553,0.1,0.7,0.06,11:05:20,{'message': 'outside_geofence'}
1,2697,23,-485,0.1,0.7,0.06,11:05:27,{'message': 'outside_geofence'}
0,2698,27,-598,0.1,0.7,0.06,11:05:36,{'message': 'outside_geofence'}
1,2699,13,-574,0.1,0.7,0.06,11:05:40,{'message': 'outside_geofence'}
0,2700,93,-671,0.1,0.7,0.06,11:06:10,{'message': 'outside_geofence'}
1,2701,18,-558,0.1,0.7,0.06,11:06:16,{'message': 'outside_geofence'}
0,2702,66,-539,0.1,0.7,0.06,11:06:37,{'message': 'outside_geofence'}
1,2703,15,-575,0.1,0.7,0.06,11:06:42,{'message': 'outside_geofence'}
0,2704,203,-817,0.1,0.7,0.06,11:07:45,{'message': 'outside_geofence'}
1,2705,106,-733,0.1,0.7,0.06,11:08:18,{'message': 'outside_geofence'}
0,2706,32,-663,0.1,0.7,0.06,11:08:28,{'message': 'outside_geofence'}
1,2707,48,-546,0.1,0.7,0.06,11:08:44,{'message': 'outside_geofence'}
0,2708,54,-527,0.1,0.7,0.06,11:09:01,{'message': 'outside_geofence'}
1,2709,31,-629,0.1,0.7,0.06,11:09:11,{'message': 'outside_geofence'}
0,2710,59,-648,0.1,0.7,0.06,11:09:30,{'message': 'outside_geofence'}
1,2711,16,-495,0.1,0.7,0.06,11:09:35,{'message': 'outside_geofence'}
0,2712,90,348,0.1,0.7,0.06,11:10:03,{'message': 'reached_goal'}
1,2713,55,-572,0.1,0.7,0.06,11:10:20,{'message': 'outside_geofence'}
0,2714,28,-547,0.1,0.7,0.06,11:10:29,{'message': 'outside_geofence'}
1,2715,22,-619,0.1,0.7,0.06,11:10:36,{'message': 'outside_geofence'}
0,2716,53,-619,0.1,0.7,0.06,11:10:53,{'message': 'outside_geofence'}
1,2717,67,-558,0.1,0.7,0.06,11:11:14,{'message': 'outside_geofence'}
0,2718,25,-538,0.1,0.7,0.06,11:11:22,{'message': 'outside_geofence'}
1,2719,141,-690,0.1,0.7,0.06,11:12:06,{'message': 'outside_geofence'}
0,2720,14,-524,0.1,0.7,0.06,11:12:11,{'message': 'outside_geofence'}
1,2721,100,-898,0.1,0.7,0.06,11:12:42,{'message': 'outside_geofence'}
0,2722,32,-539,0.1,0.7,0.06,11:12:53,{'message': 'outside_geofence'}
1,2723,32,-566,0.1,0.7,0.06,11:13:03,{'message': 'outside_geofence'}
0,2724,34,-469,0.1,0.7,0.06,11:13:14,{'message': 'outside_geofence'}
1,2725,6,-525,0.1,0.7,0.06,11:13:16,{'message': 'outside_geofence'}
0,2726,68,-636,0.1,0.7,0.06,11:13:37,{'message': 'outside_geofence'}
1,2727,21,-608,0.1,0.7,0.06,11:13:44,{'message': 'outside_geofence'}
0,2728,33,-534,0.1,0.7,0.06,11:13:54,{'message': 'outside_geofence'}
1,2729,91,-795,0.1,0.7,0.06,11:14:23,{'message': 'outside_geofence'}
0,2730,22,-528,0.1,0.7,0.06,11:14:30,{'message': 'outside_geofence'}
1,2731,64,-651,0.1,0.7,0.06,11:14:50,{'message': 'outside_geofence'}
0,2732,9,-538,0.1,0.7,0.06,11:14:54,{'message': 'outside_geofence'}
1,2733,42,-629,0.1,0.7,0.06,11:15:07,{'message': 'outside_geofence'}
0,2734,68,-622,0.1,0.7,0.06,11:15:28,{'message': 'outside_geofence'}
1,2735,12,-523,0.1,0.7,0.06,11:15:32,{'message': 'outside_geofence'}
0,2736,66,-607,0.1,0.7,0.06,11:15:53,{'message': 'outside_geofence'}
1,2737,32,-527,0.1,0.7,0.06,11:16:03,{'message': 'outside_geofence'}
0,2738,25,-603,0.1,0.7,0.06,11:16:11,{'message': 'outside_geofence'}
1,2739,49,-582,0.1,0.7,0.06,11:16:26,{'message': 'outside_geofence'}
0,2740,84,-676,0.1,0.7,0.06,11:16:53,{'message': 'outside_geofence'}
