,episode,steps,reward,alpha,gamma,epsilon,time
0,190,209,32,0.1,0.7,0.74,3:41:41
1,191,357,124,0.1,0.7,0.74,3:43:19
0,192,500,556,0.1,0.7,0.74,3:45:37
1,193,149,-8,0.1,0.7,0.74,3:46:18
0,194,475,264,0.1,0.7,0.74,3:48:28
1,195,358,184,0.1,0.7,0.74,3:50:07
0,196,340,136,0.1,0.7,0.74,3:51:42
1,197,167,-20,0.1,0.7,0.74,3:52:28
0,198,168,-24,0.1,0.7,0.74,3:53:15
1,199,500,476,0.1,0.7,0.74,3:55:34
0,200,500,532,0.1,0.7,0.74,3:57:51
1,201,500,488,0.1,0.7,0.74,4:00:08
0,202,500,492,0.1,0.7,0.74,4:02:25
1,203,500,504,0.1,0.7,0.73,4:04:43
0,204,157,-20,0.1,0.7,0.73,4:05:26
1,205,500,512,0.1,0.7,0.73,4:07:42
0,206,185,16,0.1,0.7,0.73,4:08:33
1,207,285,84,0.1,0.7,0.73,4:09:52
0,208,120,-72,0.1,0.7,0.73,4:10:24
1,209,500,468,0.1,0.7,0.73,4:12:42
0,210,188,12,0.1,0.7,0.73,4:13:34
1,211,142,-48,0.1,0.7,0.73,4:14:15
0,212,339,112,0.1,0.7,0.73,4:15:48
1,213,189,0,0.1,0.7,0.73,4:16:40
0,214,321,132,0.1,0.7,0.73,4:18:09
1,215,251,76,0.1,0.7,0.73,4:19:18
0,216,288,124,0.1,0.7,0.73,4:20:37
1,217,220,24,0.1,0.7,0.72,4:21:37
0,218,500,488,0.1,0.7,0.72,4:23:55
1,219,153,-48,0.1,0.7,0.72,4:24:37
0,220,69,-108,0.1,0.7,0.72,4:24:56
1,221,253,40,0.1,0.7,0.72,4:26:05
0,222,249,60,0.1,0.7,0.72,4:27:13
1,223,500,504,0.1,0.7,0.72,4:29:31
0,224,259,56,0.1,0.7,0.72,4:30:42
1,225,500,504,0.1,0.7,0.72,4:32:59
0,226,500,496,0.1,0.7,0.72,4:35:17
1,227,208,44,0.1,0.7,0.72,4:36:14
0,228,500,460,0.1,0.7,0.72,4:38:31
1,229,112,-68,0.1,0.7,0.72,4:39:02
0,230,500,520,0.1,0.7,0.71,4:41:19
1,231,365,212,0.1,0.7,0.71,4:42:59
0,232,137,-36,0.1,0.7,0.71,4:43:37
1,233,500,464,0.1,0.7,0.71,4:45:55
0,234,382,188,0.1,0.7,0.71,4:47:39
1,235,243,88,0.1,0.7,0.71,4:48:46
0,236,500,512,0.1,0.7,0.71,4:51:04
1,237,253,84,0.1,0.7,0.71,4:52:13
0,238,500,520,0.1,0.7,0.71,4:54:30
1,239,500,500,0.1,0.7,0.71,4:56:47
0,240,263,76,0.1,0.7,0.71,4:57:59
1,241,398,208,0.1,0.7,0.71,4:59:49
0,242,275,108,0.1,0.7,0.71,5:01:04
1,243,195,28,0.1,0.7,0.71,5:01:57
0,244,500,512,0.1,0.7,0.71,5:04:14
1,245,238,52,0.1,0.7,0.7,5:05:20
0,246,21,-196,0.1,0.7,0.7,5:05:26
1,247,500,520,0.1,0.7,0.7,5:07:44
0,248,500,544,0.1,0.7,0.7,5:10:00
1,249,500,476,0.1,0.7,0.7,5:12:16
0,250,500,500,0.1,0.7,0.7,5:14:32
1,251,234,36,0.1,0.7,0.7,5:15:37
0,252,500,496,0.1,0.7,0.7,5:17:53
1,253,426,272,0.1,0.7,0.7,5:19:49
0,254,500,496,0.1,0.7,0.7,5:22:06
1,255,500,504,0.1,0.7,0.7,5:24:24
0,256,487,340,0.1,0.7,0.7,5:26:37
1,257,500,520,0.1,0.7,0.7,5:28:55
0,258,151,-36,0.1,0.7,0.7,5:29:36
1,259,426,240,0.1,0.7,0.69,5:31:33
0,260,500,480,0.1,0.7,0.69,5:33:49
1,261,500,540,0.1,0.7,0.69,5:36:07
0,262,95,-80,0.1,0.7,0.69,5:36:34
1,263,148,-20,0.1,0.7,0.69,5:37:14
0,264,500,520,0.1,0.7,0.69,5:39:31
1,265,500,508,0.1,0.7,0.69,5:41:48
0,266,231,56,0.1,0.7,0.69,5:42:53
1,267,500,536,0.1,0.7,0.69,5:45:10
0,268,289,108,0.1,0.7,0.69,5:46:30
